timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1668584327521,4,/jspm_packages/npm/webcomponents.js@0.7.24/HTMLImports.min.js,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,20276,240,15,15,https://goodt-pochta-loadqa.goodt.me/jspm_packages/npm/webcomponents.js@0.7.24/HTMLImports.min.js,4,0,0
1668584327526,42,/dist/view-bundled.html,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,1775502,202,15,15,https://goodt-pochta-loadqa.goodt.me/dist/view-bundled.html,4,0,0
1668584327569,16,/locales/ru/translation.json,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,136125,207,15,15,https://goodt-pochta-loadqa.goodt.me/locales/ru/translation.json,13,0,0
1668584327585,6,/locales/en/translation.json,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,115130,207,15,15,https://goodt-pochta-loadqa.goodt.me/locales/en/translation.json,4,0,0
1668584327591,6,/node_modules/material-design-lite/material.min.js,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,62822,229,15,15,https://goodt-pochta-loadqa.goodt.me/node_modules/material-design-lite/material.min.js,6,0,0
1668584327597,6,/fonts/material-icons.woff,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,61079,205,15,15,https://goodt-pochta-loadqa.goodt.me/fonts/material-icons.woff,5,0,0
1668584327603,7,/packages/slim/slim.amd.js,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,126686,205,15,15,https://goodt-pochta-loadqa.goodt.me/packages/slim/slim.amd.js,5,0,0
1668584327610,3,/favicon.ico,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,2121,191,15,15,https://goodt-pochta-loadqa.goodt.me/favicon.ico,3,0,0
1668584327614,3,/favicon.ico,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,2121,191,15,15,https://goodt-pochta-loadqa.goodt.me/favicon.ico,3,0,0
1668584327617,11,/fonts/materialdesignicons-webfont.woff2?v=5.9.55,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,320290,228,15,15,https://goodt-pochta-loadqa.goodt.me/fonts/materialdesignicons-webfont.woff2?v=5.9.55,6,0,0
1668584327628,7,/fonts/Roboto-Regular.ttf,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,126376,204,15,15,https://goodt-pochta-loadqa.goodt.me/fonts/Roboto-Regular.ttf,5,0,0
1668584327635,7,/fonts/Roboto-Medium.ttf,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,127792,203,15,15,https://goodt-pochta-loadqa.goodt.me/fonts/Roboto-Medium.ttf,5,0,0
1668584327642,7,/fonts/Roboto-MediumItalic.ttf,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,134616,209,15,15,https://goodt-pochta-loadqa.goodt.me/fonts/Roboto-MediumItalic.ttf,5,0,0
1668584327649,4,/dist/modules/_shifts/indicators/shifts-histogram.mjs,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,1705,232,15,15,https://goodt-pochta-loadqa.goodt.me/dist/modules/_shifts/indicators/shifts-histogram.mjs,4,0,0
1668584327653,3,/dist/modules/_shifts/indicators/utilization-text.mjs,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,2129,232,15,15,https://goodt-pochta-loadqa.goodt.me/dist/modules/_shifts/indicators/utilization-text.mjs,3,0,0
1668584327656,3,/dist/modules/_shifts/indicators/shifts.mjs,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,2678,222,15,15,https://goodt-pochta-loadqa.goodt.me/dist/modules/_shifts/indicators/shifts.mjs,3,0,0
1668584327660,2,/dist/modules/_shifts/indicators/cost-hour.mjs,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,1147,225,15,15,https://goodt-pochta-loadqa.goodt.me/dist/modules/_shifts/indicators/cost-hour.mjs,2,0,0
1668584327662,3,/dist/modules/_shifts/indicators/base.mjs,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,1186,220,15,15,https://goodt-pochta-loadqa.goodt.me/dist/modules/_shifts/indicators/base.mjs,3,0,0
1668584327665,3,/dist/modules/_shifts/indicators/coating-fte.mjs,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,3490,227,15,15,https://goodt-pochta-loadqa.goodt.me/dist/modules/_shifts/indicators/coating-fte.mjs,3,0,0
1668584327669,111,/build-info,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,671,216,15,15,https://goodt-pochta-loadqa.goodt.me/build-info,111,0,0
1668584327780,4,/properties.json,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,5201,268,15,15,https://goodt-pochta-loadqa.goodt.me/properties.json,4,0,0
1668584327784,3,/revision.json,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,353,266,15,15,https://goodt-pochta-loadqa.goodt.me/revision.json,3,0,0
1668584327787,6,/node_modules/moment/min/moment.min.js,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,59192,290,15,15,https://goodt-pochta-loadqa.goodt.me/node_modules/moment/min/moment.min.js,5,0,0
