omId,employeeId
75180,644657
75180,645799
75191,645370
75191,1201341
75191,647382
75193,645213
75193,748110
75193,644478
75193,649012
75193,646925
75193,1202789
75196,647334
75196,1152392
75196,648171
75196,1310518
75196,644246
75209,1130149
75209,773943
75209,647835
75209,648244
75209,648750
75209,1321365
75209,647088
75209,1233121
75210,645871
75210,646967
75210,1283138
75210,649106
75210,648888
75210,645482
75210,1215316
75210,648845
75210,645746
75210,1241628
75210,790997
75210,816396
75210,970548
75210,1273114
75234,644221
75234,646144
75234,1335202
75234,644799
75234,646753
75234,873635
75234,648023
75234,644685
75282,648401
75282,646074
75282,648344
75282,675239
75282,646590
75322,1105504
75322,649038
75347,648021
75347,1217258
75347,649083
75347,1216661
75347,644456
75347,644610
75347,1055811
75351,1247655
75351,1262781
75351,648976
75351,644972
75351,645957
75351,1344627
75351,644022
76735,1345362
76735,1345086
76735,1345087
76735,1348521
75367,648438
75367,827083
75373,645316
76091,1301931
75404,644967
75404,678023
75404,722288
75404,645346
75404,644620
75448,645844
75448,1233483
75448,1045671
75448,648597
75448,673841
75473,648572
75473,1252607
75473,1227081
75473,878911
75473,1142014
75473,652037
75473,644509
75473,645368
75473,999739
75473,1028404
75473,647269
75473,645569
75488,644698
75488,978150
75531,723071
75531,645605
75531,728903
75531,864920
75531,648772
75531,647095
75531,645759
75531,649082
75547,647079
75547,1354902
75547,646466
75547,1316410
75547,1316409
75547,644805
75547,1327374
75547,654859
75547,645705
75561,647349
75561,648630
75561,649351
75561,646591
75561,645522
75561,648717
75568,648139
75568,910445
75568,645434
75568,648294
75568,644794
75568,1188300
75568,645787
75568,647908
75568,647764
75568,646928
75568,1226667
75568,645712
75568,647811
75568,885023
75568,1150046
75568,1095300
75571,645911
75571,644894
75571,649524
75571,648898
75571,647272
10308,1056784
75639,1361969
75639,648282
75639,645202
75639,646163
75639,648715
75639,658759
75639,1355016
75639,647919
75639,649046
75639,648562
75639,1171944
75639,648686
75639,1031141
75639,646588
75639,649227
75668,644356
75668,646864
3383,51118
75752,687194
75752,647882
75752,1205437
75752,643982
75752,1215460
75752,644259
75752,646976
75752,649309
75752,648648
75752,801808
75836,1243488
75836,645289
75836,647240
75836,644290
75836,644923
75842,645023
75842,649502
75842,649080
75842,648580
75842,1200660
75842,1339209
75890,649621
75890,901821
75890,1300351
75890,645995
75890,645888
75927,649402
75966,646033
75966,1287125
75966,647735
75966,1125842
75966,1321206
75966,648897
75966,649568
35949,267294
35949,266419
35949,268947
35949,270354
35949,267776
35949,1183150
35949,1313592
35949,904363
35949,271821
35949,274994
35949,678861
35949,1295624
35949,1031831
35949,538250
76943,725844
76943,737893
76943,1081653
76943,1183664
76943,901944
76943,1186132
34342,1174710
34342,1189519
34342,1211851
34342,1346571
34342,1209507
34342,1138264
34342,1309326
79674,1231757
79674,1359173
79674,1318982
79674,1231380
79674,1231327
79849,829508
79849,950009
79849,888581
79849,886537
79849,1244095
79849,1139598
79849,912338
79849,849239
73673,946089
73673,964788
73673,1040774
73673,1252591
73673,966052
82468,768594
84566,1101056
84566,1109202
84566,1074930
84566,1058969
84566,1085370
83096,937529
83096,1290617
83096,861359
83096,908330
83096,860558
83096,1211718
83096,1021762
77427,735442
77427,1360063
77427,1247076
77427,1028458
5278,735345
5278,972950
5278,1031201
5278,1039821
5278,1064921
5278,924897
